Pica pica,EurasianMagpie
Coloeus monedula,WesternJackdaw
Corvus frugilegus,Rook
Corvus corone,CarrionCrow
Sturnus vulgaris,CommonStarling
Passer domesticus,HouseSparrow
Passer montanus,EurasianTreeSparrow
Fringilla coelebs,CommonChaffinch
Chloris chloris,EuropeanGreenfinch
Carduelis carduelis,EuropeanGoldfinch
Linaria cannabina,CommonLinnet
Emberiza schoeniclus,CommonReedBunting
Gavia stellata,Red-throatedLoon
Tachybaptus ruficollis,LittleGrebe
Podiceps grisegena,Red-neckedGrebe
Podiceps nigricollis,Black-neckedGrebe
Fulmarus glacialis,NorthernFulmar
Morus bassanus,NorthernGannet
Botaurus stellaris,EurasianBittern
Ardea alba,GreatEgret
Ardea purpurea,PurpleHeron
Ciconia ciconia,WhiteStork
Platalea leucorodia,EurasianSpoonbill
Cygnus columbianus,TundraSwan
Cygnus cygnus,WhooperSwan
Anser brachyrhynchus,Pink-footedGoose
Anser indicus,Bar-headedGoose
Branta bernicla,BrantGoose
Cairina moschata,MuscovyDuck
Anas acuta,NorthernPintail
Spatula querquedula,Garganey
Spatula clypeata,NorthernShoveler
Aythya ferina,CommonPochard
Aythya marila,GreaterScaup
Somateria mollissima,CommonEider
Melanitta nigra,CommonScoter
Melanitta fusca,VelvetScoter
Bucephala clangula,CommonGoldeneye
Mergellus albellus,Smew
Mergus serrator,Red-breastedMerganser
Mergus merganser,CommonMerganser
Pernis apivorus,EuropeanHoneyBuzzard
Circus aeruginosus,WesternMarshHarrier
Circus cyaneus,HenHarrier
Accipiter gentilis,NorthernGoshawk
Falco columbarius,Merlin
Falco subbuteo,EurasianHobby
Falco peregrinus,PeregrineFalcon
Perdix perdix,GreyPartridge
Rallus aquaticus,WaterRail
Recurvirostra avosetta,PiedAvocet
Charadrius dubius,LittleRingedPlover
Charadrius hiaticula,CommonRingedPlover
Pluvialis apricaria,EuropeanGoldenPlover
Pluvialis squatarola,GreyPlover
Calidris canutus,RedKnot
Calidris alba,Sanderling
Calidris minuta,LittleStint
Calidris ferruginea,CurlewSandpiper
Calidris alpina,Dunlin
Calidris pugnax,Ruff
Gallinago gallinago,CommonSnipe
Scolopax rusticola,EurasianWoodcock
Limosa limosa,Black-tailedGodwit
Limosa lapponica,Bar-tailedGodwit
Numenius phaeopus,EurasianWhimbrel
Numenius arquata,EurasianCurlew
Tringa erythropus,SpottedRedshank
Tringa totanus,CommonRedshank
Tringa nebularia,CommonGreenshank
Tringa ochropus,GreenSandpiper
Tringa glareola,WoodSandpiper
Actitis hypoleucos,CommonSandpiper
Arenaria interpres,RuddyTurnstone
Stercorarius parasiticus,ParasiticJaeger
Hydrocoloeus minutus,LittleGull
Larus cachinnans,CaspianGull
Larus marinus,GreatBlack-backedGull
Rissa tridactyla,Black-leggedKittiwake
Thalasseus sandvicensis,SandwichTern
Sterna hirundo,CommonTern
Sterna paradisaea,ArcticTern
Sternula albifrons,LittleTern
Chlidonias niger,BlackTern
Uria aalge,CommonMurre
Streptopelia turtur,EuropeanTurtleDove
Cuculus canorus,CommonCuckoo
Tyto alba,WesternBarnOwl
Athene noctua,LittleOwl
Strix aluco,TawnyOwl
Asio otus,Long-earedOwl
Asio flammeus,Short-earedOwl
Alcedo atthis,CommonKingfisher
Picus viridis,EuropeanGreenWoodpecker
Dryocopus martius,BlackWoodpecker
Dryobates minor,LesserSpottedWoodpecker
Lullula arborea,Woodlark
Riparia riparia,SandMartin
Anthus spinoletta,WaterPipit
Anthus petrosus,EuropeanRockPipit
Motacilla flava,WesternYellowWagtail
Motacilla cinerea,GreyWagtail
Motacilla alba,WhiteWagtail
Luscinia megarhynchos,CommonNightingale
Luscinia svecica,Bluethroat
Phoenicurus ochruros,BlackRedstart
Phoenicurus phoenicurus,CommonRedstart
Saxicola rubetra,Whinchat
Saxicola rubicola,EuropeanStonechat
Oenanthe oenanthe,NorthernWheatear
Turdus viscivorus,MistleThrush
Locustella naevia,CommonGrasshopperWarbler
Locustella luscinioides,SavisWarbler
Acrocephalus schoenobaenus,SedgeWarbler
Acrocephalus arundinaceus,GreatReedWarbler
Hippolais icterina,IcterineWarbler
Curruca curruca,LesserWhitethroat
Phylloscopus sibilatrix,WoodWarbler
Regulus ignicapilla,CommonFirecrest
Muscicapa striata,SpottedFlycatcher
Ficedula hypoleuca,EuropeanPiedFlycatcher
Panurus biarmicus,BeardedReedling
Aegithalos caudatus,Long-tailedTit
Poecile palustris,MarshTit
Poecile montanus,WillowTit
Lophophanes cristatus,EuropeanCrestedTit
Oriolus oriolus,EurasianGoldenOriole
Corvus corax,NorthernRaven
Fringilla montifringilla,Brambling
Spinus spinus,EurasianSiskin
Acanthis flammea,CommonRedpoll
Loxia curvirostra,RedCrossbill
Pyrrhula pyrrhula,EurasianBullfinch
Coccothraustes coccothraustes,Hawfinch
Emberiza citrinella,Yellowhammer
Gavia arctica,Black-throatedLoon
Podiceps auritus,HornedGrebe
Puffinus puffinus,ManxShearwater
Hydrobates leucorhous,LeachsStormPetrel
Gulosus aristotelis,EuropeanShag
Egretta garzetta,LittleEgret
Ciconia nigra,BlackStork
Threskiornis aethiopicus,AfricanSacredIbis
Phoenicopterus chilensis,ChileanFlamingo
Cygnus atratus,BlackSwan
Anser caerulescens,SnowGoose
Branta bernicla,BrantGoose
Branta ruficollis,Red-breastedGoose
Tadorna ferruginea,RuddyShelduck
Aix sponsa,WoodDuck
Aix galericulata,MandarinDuck
Anas bahamensis,White-cheekedPintail
Netta rufina,Red-crestedPochard
Clangula hyemalis,Long-tailedDuck
Oxyura jamaicensis,RuddyDuck
Milvus migrans,BlackKite
Milvus milvus,RedKite
Haliaeetus albicilla,White-tailedEagle
Circus pygargus,MontagusHarrier
Buteo lagopus,Rough-leggedBuzzard
Pandion haliaetus,WesternOsprey
Falco vespertinus,Red-footedFalcon
Coturnix coturnix,CommonQuail
Gallus gallus,RedJunglefowl
Porzana porzana,SpottedCrake
Grus grus,CommonCrane
Charadrius alexandrinus,KentishPlover
Charadrius morinellus,EurasianDotterel
Calidris temminckii,TemmincksStint
Calidris maritima,PurpleSandpiper
Lymnocryptes minimus,JackSnipe
Tringa stagnatilis,MarshSandpiper
Phalaropus lobatus,Red-neckedPhalarope
Phalaropus fulicarius,RedPhalarope
Stercorarius longicaudus,Long-tailedJaeger
Stercorarius skua,GreatSkua
Ichthyaetus melanocephalus,MediterraneanGull
Larus michahellis,Yellow-leggedGull
Larus hyperboreus,GlaucousGull
Gelochelidon nilotica,Gull-billedTern
Hydroprogne caspia,CaspianTern
Chlidonias leucopterus,White-wingedTern
Alca torda,Razorbill
Caprimulgus europaeus,EuropeanNightjar
Jynx torquilla,EurasianWryneck
Dendrocoptes medius,MiddleSpottedWoodpecker
Eremophila alpestris,HornedLark
Anthus campestris,TawnyPipit
Anthus cervinus,Red-throatedPipit
Bombycilla garrulus,BohemianWaxwing
Turdus torquatus,RingOuzel
Cettia cetti,CettisWarbler
Phylloscopus inornatus,Yellow-browedWarbler
Remiz pendulinus,EurasianPendulineTit
Lanius collurio,Red-backedShrike
Lanius excubitor,GreatGreyShrike
Serinus serinus,EuropeanSerin
Linaria flavirostris,Twite
Carpodacus erythrinus,CommonRosefinch
Calcarius lapponicus,LaplandLongspur
Plectrophenax nivalis,SnowBunting
Emberiza hortulana,OrtolanBunting
Emberiza calandra,CornBunting
Pavo cristatus,IndianPeafowl
Gavia immer,CommonLoon
Puffinus mauretanicus,BalearicShearwater
Hydrobates pelagicus,EuropeanStormPetrel
Ixobrychus minutus,LittleBittern
Nycticorax nycticorax,Black-crownedNightHeron
Ardeola ralloides,SquaccoHeron
Bubulcus ibis,WesternCattleEgret
Plegadis falcinellus,GlossyIbis
Phoenicopterus roseus,GreaterFlamingo
Anser fabalis,TaigaBeanGoose
Anser erythropus,LesserWhite-frontedGoose
Aythya nyroca,FerruginousDuck
Gyps fulvus,GriffonVulture
Circaetus gallicus,Short-toedSnakeEagle
Circus macrourus,PallidHarrier
Lyrurus tetrix,BlackGrouse
Zapornia pusilla,BaillonsCrake
Crex crex,CornCrake
Himantopus himantopus,Black-wingedStilt
Burhinus oedicnemus,EurasianStone-curlew
Calidris melanotos,PectoralSandpiper
Calidris falcinellus,Broad-billedSandpiper
Xenus cinereus,TerekSandpiper
Xema sabini,SabinesGull
Larus glaucoides,IcelandGull
Chlidonias hybrida,WhiskeredTern
Cepphus grylle,BlackGuillemot
Fratercula arctica,AtlanticPuffin
Bubo bubo,EurasianEagle-Owl
Merops apiaster,EuropeanBee-eater
Upupa epops,EurasianHoopoe
Galerida cristata,CrestedLark
Cecropis daurica,Red-rumpedSwallow
Anthus hodgsoni,Olive-backedPipit
Cinclus cinclus,White-throatedDipper
Cisticola juncidis,ZittingCisticola
Locustella fluviatilis,RiverWarbler
Acrocephalus paludicola,AquaticWarbler
Hippolais polyglotta,MelodiousWarbler
Curruca nisoria,BarredWarbler
Phylloscopus trochiloides,GreenishWarbler
Phylloscopus proregulus,PallassLeafWarbler
Ficedula parva,Red-breastedFlycatcher
Certhia familiaris,EurasianTreecreeper
Lanius senator,WoodchatShrike
Nucifraga caryocatactes,SpottedNutcracker
Pastor roseus,RosyStarling
Loxia leucoptera,Two-barredCrossbill
Loxia pytyopsittacus,ParrotCrossbill
Emberiza pusilla,LittleBunting
